State,County,Website,Population,Coordinates,Wikidata ID
Arkansas,Pulaski County,http://www.co.pulaski.ar.us,391284,Point(-92.285833333 34.742222222),Q61160
Arkansas,Benton County,http://www.co.benton.ar.us,237297,Point(-94.234166666 36.352222222),Q61020
Arkansas,Washington County,http://www.co.washington.ar.us,216410,Point(-94.227222222 36.0025),Q61148
Arkansas,Sebastian County,http://www.sebastiancountyonline.com,127342,Point(-94.258055555 35.594166666),Q61176
Arkansas,Faulkner County,http://www.faulknercounty.org,119580,Point(-92.313611111 35.16),Q61468
Arkansas,Saline County,http://www.salinecounty.org,114404,Point(-92.681666666 34.651111111),Q61327
Arkansas,Craighead County,http://craigheadcounty.org,101488,Point(-90.7075 35.840277777),Q61354
Arkansas,Garland County,http://www.garlandcounty.org/,97173,Point(-93.1275 34.583611111),Q61077
Arkansas,White County,http://www.whitecounty.arkansas.gov,78483,Point(-91.734722222 35.255833333),Q61170
Arkansas,Jefferson County,http://jeffersoncounty.arkansas.gov/,73191,Point(-91.942222222 34.2875),Q61289
Arkansas,Pope County,http://www.popecountyar.com,62547,Point(-93.031944444 35.426388888),Q61315
Arkansas,Crawford County,http://www.crawford-county.org/,61640,Point(-94.25 35.566666666),Q61005
Arkansas,Mississippi County,http://www.mcagov.com,44765,Point(-90.054444444 35.776666666),Q61157
Arkansas,Miller County,http://www.millercountyar.org,43402,Point(-93.877222222 33.327777777),Q61381
Arkansas,Greene County,http://county.arkansas.gov/greene/,43097,Point(-90.561388888 36.105833333),Q61018
Arkansas,Baxter County,http://www.baxtercounty.org/,40957,Point(-92.354722222 36.306944444),Q61086
Arkansas,Union County,http://www.unioncountyar.com,40694,Point(-92.591388888 33.187222222),Q61129
Arkansas,Boone County,http://www.boonecountyar.com,37396,Point(-93.093888888 36.306111111),Q61010
Arkansas,Independence County,http://www.independencecounty.com/,36997,Point(-91.520555555 35.723055555),Q61350
Arkansas,Carroll County,http://www.co.carroll.ar.us,27808,Point(-93.496388888 36.368055555),Q61216
Arkansas,Johnson County,http://johnsoncounty.arkansas.gov/,25846,Point(-93.466666666 35.55),Q61048
Arkansas,Cleburne County,http://www.cleburnecountyar.com/,25686,Point(-92.012777777 35.535),Q61039
Arkansas,Columbia County,http://www.countyofcolumbia.org/,24164,Point(-93.218333333 33.241111111),Q61358
Arkansas,Poinsett County,http://www.poinsettcounty.us,24145,Point(-90.66 35.571388888),Q61153
Arkansas,Clark County,http://www.clarkcountyarkansas.com,22743,Point(-93.163888888 34.088888888),Q61200
Arkansas,Hempstead County,http://www.hempsteadcountyar.com,22474,Point(-93.663611111 33.743611111),Q61355
